name,team,number,pos,height,weight,age,exp,college,image
"Agnew, Ray",Dallas Cowboys,48,FB,5'10”,245,24,1,Southern Illinois,http://www.dallascowboys.com/sites/dallascowboys.com/files/styles/312x312/public/AGN409291.png
"Baggs, Donnie",Dallas Cowboys,46,LB,6'1”,230,22,R,Texas A&M,http://www.dallascowboys.com/sites/dallascowboys.com/files/styles/312x312/public/baggs_donnie.png
"Bailey, Dan",Dallas Cowboys,5,K,6'0”,195,27,5,Oklahoma State,http://www.dallascowboys.com/sites/dallascowboys.com/files/styles/312x312/public/bai159977_15.png
"Beasley, Cole",Dallas Cowboys,11,WR,5'8”,180,26,4,Southern Methodist,http://www.dallascowboys.com/sites/dallascowboys.com/files/styles/312x312/public/bea434808_4.png
"Bernadeau, Mackenzy",Dallas Cowboys,73,G,6'4”,322,29,8,Bentley,http://www.dallascowboys.com/sites/dallascowboys.com/files/styles/312x312/public/ber180672_9.png
"Bishop, Ken",Dallas Cowboys,66,NT,6'0”,305,24,R,Northern Illinois,http://www.dallascowboys.com/sites/dallascowboys.com/files/styles/312x312/public/bishop_ken_headshot_14_0.png
"Boatright, Kenneth",Dallas Cowboys,79,DE,6'3”,253,25,1,Southern Illinois,http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16049.png&w=350&h=254
"Brinkley, Jasper",Dallas Cowboys,54,LB,6'2”,252,29,7,South Carolina,http://www.dallascowboys.com/sites/dallascowboys.com/files/styles/312x312/public/colllinss.jpg
"Bryant, Dez",Dallas Cowboys,88,WR,6'2”,220,26,6,Oklahoma State,http://www.dallascowboys.com/sites/dallascowboys.com/files/styles/312x312/public/bry336027_7.png
"Carr, Brandon",Dallas Cowboys,39,CB,6'0”,210,29,8,Grand Valley State,http://www.dallascowboys.com/sites/dallascowboys.com/files/styles/312x312/public/car347675_3.png
"Church, Barry",Dallas Cowboys,42,S,6'2”,218,27,6,Toledo,
"Claiborne, Morris",Dallas Cowboys,24,CB,5'11”,192,25,4,LSU,
"Clutts, Tyler",Dallas Cowboys,44,FB,6'2”,250,30,5,Fresno State,
"Coleman, Davon",Dallas Cowboys,60,DT,6'2”,300,24,R,Arizona State,
"Collins, La'el",Dallas Cowboys,71,OL,6'4”,321,21,R,LSU-Shreveport,
"Crawford, Jack",Dallas Cowboys,58,DE,6'5”,288,26,4,Penn State,
"Crawford, Tyrone",Dallas Cowboys,98,DT,6'4”,285,25,4,Boise State,
"Dill, R.J.",Dallas Cowboys,74,OT,6'6”,316,24,1,Rutgers,
"Dunbar, Lance",Dallas Cowboys,25,RB,5'8”,195,25,4,North Texas,
"Dunn, Reggie",Dallas Cowboys,14,WR,5'9”,178,26,1,Utah,
"Edwards, Lavar",Dallas Cowboys,95,DE,6'4”,278,25,2,LSU,
"Escobar, Gavin",Dallas Cowboys,89,TE,6'6”,260,24,3,San Diego State,
"Farmer, George",Dallas Cowboys,19,WR,6'1”,220,21,R,USC,
"Fortenberry, Reshod",Dallas Cowboys,69,OT,6'5”,286,24,R,Texas Tech,
"Frederick, Travis",Dallas Cowboys,72,C,6'4”,315,24,3,Wisconsin,
"Free, Doug",Dallas Cowboys,68,OT,6'6”,325,31,9,Northern Illinois,
"Gachkar, Andrew",Dallas Cowboys,52,LB,6'2”,224,26,5,Missouri,
"Gardner, Ben",Dallas Cowboys,93,DE,6'4”,270,24,2,Stanford,
"Gibson, Laurence",Dallas Cowboys,67,OT,6'6”,300,24,R,Virginia Tech,
"Goodley, Antwan",Dallas Cowboys,85,WR,5'10”,220,23,R,Baylor,
"Green, Chaz",Dallas Cowboys,79,OL,6'5”,300,23,R,Florida,
"Greenberry, Deontay",Dallas Cowboys,81,WR,6'2”,200,21,R,Houston,
"Gregory, Randy",Dallas Cowboys,94,DE,6'6”,245,22,R,Nebraska,
"Hamilton, Ray",Dallas Cowboys,86,TE,6'4”,252,22,R,Iowa,
"Hanna, James",Dallas Cowboys,84,TE,6'4”,260,25,4,Oklahoma,
"Hardy, Greg",Dallas Cowboys,76,DE,6'4”,279,26,5,Mississippi,
"Harwell, Nick",Dallas Cowboys,17,WR,5'11”,193,24,R,Kansas,http://www.dallascowboys.com/sites/dallascowboys.com/files/styles/312x312/public/harwell_nick.jpg
"Hayden, Nick",Dallas Cowboys,96,DT,6'4”,303,29,8,Wisconsin,
"Heath, Jeff",Dallas Cowboys,38,S,6'1”,212,24,3,Saginaw Valley State,
"Hitchens, Anthony",Dallas Cowboys,59,LB,6'0”,235,23,2,Iowa,http://www.dallascowboys.com/sites/dallascowboys.com/files/styles/312x312/public/hitchens_anthony_headshot_14.png
"Hornsey, Tom",Dallas Cowboys,1,P,6'3”,210,26,1,Memphis,
"Jackson, Justin",Dallas Cowboys,57,LB,6'1”,232,23,1,Wake Forest,
"Jenkins, A.J.",Dallas Cowboys,16,WR,6'0”,200,25,4,Illinois,
"Jones, Byron",Dallas Cowboys,31,CB,6'1”,199,22,R,Connecticut,
"Jones, Chris",Dallas Cowboys,6,P,6'0”,205,25,4,Carson-Newman,
"Kreiter, Casey",Dallas Cowboys,49,LS,6'1”,250,24,1,Iowa,
